,Seizure.Date,Cannabis,Cocaine,Heroin,,,
107,4/17/2010,241.605,15.484,10.1572,,,
108,4/18/2010,99.703,8.889,3.76143,,,
109,4/19/2010,1348.167,200.174,15.562,,,
110,4/20/2010,997.09,22.749,52.736,,,
111,4/21/2010,19370.139,25.563,7.27,,,
112,4/22/2010,243.68,4628.883,14.0921,,,
113,4/23/2010,328.767,11.466,9.464,,,
114,4/24/2010,402.643,24.158,3.3043,,,
115,4/25/2010,161.548,102.704,9.201,,,
116,4/26/2010,1917.362,29.134,80.069,,,
117,4/27/2010,3285.373,2207.813,37.499,,,
118,4/28/2010,2467.565,34.543,5.46,,,
119,4/29/2010,6407.186,83.127,59.324,,,
120,4/30/2010,112.567,15.181,15.161,51007,12737,599
121,5/1/2010,1754.023,38.814,29.8539,,,
122,5/2/2010,2951.193,79.179,2.95,,,
123,5/3/2010,807.9436,33.019,1.745,,,
124,5/4/2010,780.897,32.498,32.263,,,
125,5/5/2010,6397.159,18.636,10.91,,,
126,5/6/2010,1293.066,105.33,17.486,,,
127,5/7/2010,1988.7865,151.055,16.533,,,
128,5/8/2010,2069.79,197.231,14.796,,,
129,5/9/2010,722.468,32.66,10.383,,,
130,5/10/2010,4609.48,67.545,1.561,,,
131,5/11/2010,2335.4615,123.232,4.192,,,
132,5/12/2010,267.33,29.984,2.711687,,,
133,5/13/2010,1518.381,217.506,32.173,,,
134,5/14/2010,310.9,99.114,9.847,,,
135,5/15/2010,613.425,280.465,17.8445,,,
136,5/16/2010,125.045,177.763,3.023,,,
137,5/17/2010,303.245,42.171,76.8215,,,
138,5/18/2010,1976.928,838.0481,51.225,,,
139,5/19/2010,15769.197,179.932,30.151,,,
140,5/20/2010,2263.463,66.722,8.8944,,,
141,5/21/2010,345.72,29.621,23.6878,,,
142,5/22/2010,1367.311,28.562,2.499,,,
143,5/23/2010,200.747,29.005,13.7,,,
144,5/24/2010,607.768,38.522,6.134,,,
145,5/25/2010,42498.584,929.405,274.254,,,
146,5/26/2010,3460.688,84.785,16.974,,,
147,5/27/2010,300.886,256.1499,10.954,,,
148,5/28/2010,1125.806,37.79363,50.844,,,
149,5/29/2010,2872.244,143.53,16.022,,,
150,5/30/2010,1132.907,245.676,11.75108,,,
151,5/31/2010,539.709,56.408,12.024,103311,4690,814
152,6/1/2010,598.362,118.932,29.9701,,,
153,6/2/2010,679.144,7.818,10.335,,,
154,6/3/2010,635.422,33.127,2.579,,,
155,6/4/2010,1171.7821,34.276,25.181,,,
156,6/5/2010,2623.561,47.075,6.2685,,,
157,6/6/2010,184.537,68.081,0.68864,,,
158,6/7/2010,12931.025,29.552,19.5143,,,
159,6/8/2010,106.521,41.699,9.042,,,
160,6/9/2010,82.986,37.954,14.229,,,
161,6/10/2010,4593.788,430.607,9.058,,,
162,6/11/2010,1407.2638,255.743,8.262,,,
163,6/12/2010,18.735,32.937,30.611,,,
164,6/13/2010,443.785,150.837,16.832,,,
165,6/14/2010,100.851,132.065,1.52156,,,
